1st_choice,2nd_choice,3rd_choice
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,4
2,2,1
2,1,2
2,0,2
2,2,1
1,1,4
2,2,1
2,2,1
2,2,1
2,2,1
2,2,4
2,2,1
3,3,2
2,4,2
2,2,1
2,4,0
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
1,4,3
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,1,2
2,2,4
2,2,4
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
1,1,3
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
1,1,4
2,2,1
2,1,0
3,3,2
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
1,1,0
2,1,4
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
